p, k, b/c, n, result
0.02,3.94,2.1, 44, 0
0.02,3.88,2.1, 775, 0
0.02,4.02,2.1, 1367, 0
0.02,4.28,2.1, 16, 0
0.02,3.98,2.1, 87, 0
0.02,4.0,2.1, 74, 0
0.02,3.56,2.1, 278, 0
0.02,4.08,2.1, 6, 0
0.02,3.86,2.1, 77, 0
0.02,4.26,2.1, 1295, 0
0.02,4.3,2.1, 50, 0
0.02,3.8,2.1, 18, 0
0.02,3.92,2.1, 450, 0
0.02,4.0,2.1, 913, 0
0.02,4.14,2.1, 104, 0
0.02,3.82,2.1, 760, 0
0.02,4.46,2.1, 175, 0
0.02,3.84,2.1, 212, 0
0.02,3.46,2.1, 238, 0
0.02,4.18,2.1, 8, 0
0.02,4.08,2.1, 3370, 0
0.02,3.98,2.1, 44, 0
0.02,4.14,2.1, 273, 0
0.02,4.36,2.1, 28, 0
0.02,4.08,2.1, 1909, 0
0.02,3.68,2.1, 2, 0
0.02,3.92,2.1, 773, 0
0.02,3.9,2.1, 694, 0
0.02,3.72,2.1, 910, 0
0.02,3.84,2.1, 1141, 0
0.02,3.88,2.1, 108, 0
0.02,3.88,2.1, 10, 0
0.02,3.66,2.1, 163, 0
0.02,3.86,2.1, 21, 0
0.02,3.9,2.1, 36, 0
0.02,3.98,2.1, 10000, 26
0.02,4.06,2.1, 436, 0
0.02,3.98,2.1, 0, 0
0.02,4.0,2.1, 657, 0
0.02,3.86,2.1, 3196, 0
0.02,3.7,2.1, 150, 0
0.02,3.78,2.1, 1389, 0
0.02,3.94,2.1, 14, 0
0.02,3.72,2.1, 164, 0
0.02,3.88,2.1, 1143, 0
0.02,4.1,2.1, 348, 0
0.02,3.9,2.1, 57, 0
0.02,3.58,2.1, 23, 0
0.02,3.74,2.1, 122, 0
0.02,4.12,2.1, 54, 0
0.02,3.92,2.1, 20, 0
0.02,3.9,2.1, 100, 0
0.02,3.64,2.1, 160, 0
0.02,3.86,2.1, 740, 0
0.02,3.9,2.1, 180, 0
0.02,4.4,2.1, 115, 0
0.02,3.6,2.1, 3521, 0
0.02,4.26,2.1, 57, 0
0.02,4.1,2.1, 25, 0
0.02,4.12,2.1, 14, 0
0.02,3.76,2.1, 240, 0
0.02,3.86,2.1, 1223, 0
0.02,4.06,2.1, 65, 0
0.02,3.68,2.1, 107, 0
0.02,3.98,2.1, 315, 0
0.02,3.8,2.1, 36, 0
0.02,3.96,2.1, 243, 0
0.02,4.02,2.1, 440, 0
0.02,4.14,2.1, 87, 0
0.02,4.0,2.1, 195, 0
0.02,3.9,2.1, 133, 0
0.02,3.98,2.1, 34, 0
0.02,4.22,2.1, 5402, 0
0.02,3.84,2.1, 108, 0
0.02,3.96,2.1, 2881, 0
0.02,3.8,2.1, 362, 0
0.02,3.92,2.1, 323, 0
0.02,4.02,2.1, 526, 0
0.02,4.06,2.1, 4026, 0
0.02,3.9,2.1, 84, 0
0.02,3.84,2.1, 6155, 0
0.02,3.76,2.1, 3, 0
